CF1,f11,MAE1,MAE2,pred,date,countries
0,0,134.6153846153846,154.0,[],2023-01-02 00:00:00,[]
0,0,117.83333333333333,126.0,[],2023-01-16 00:00:00,[]
0,0,117.83333333333333,126.0,[],2023-01-30 00:00:00,[]
0,0,24.5,14.0,[],2023-02-13 00:00:00,[]
0,0,77.0,84.0,[],2023-02-27 00:00:00,[]
0,0,70.0,70.0,[],2023-03-13 00:00:00,[]
0,0,56.0,56.0,[],2023-03-27 00:00:00,[]
0,0,33.09090909090909,28.0,[],2023-04-10 00:00:00,[]
0,0,46.2,49.0,[],2023-04-24 00:00:00,[]
0,0,16.8,14.0,[],2023-05-08 00:00:00,[]
0,0,12.6,14.0,[],2023-05-22 00:00:00,[]
0,0,15.75,7.0,[],2023-06-05 00:00:00,[]
0,0,8.4,14.0,[],2023-06-19 00:00:00,[]
0,0,0.0,0.0,[],2023-07-03 00:00:00,[]
0,0,-1,-1,[],2023-07-17 00:00:00,[]
